Year,Month,Day,Hours,Minutes,Seconds,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m)
0026,8,17,0,58,51,10268,-24408,77,5,-0.7322,1.5288,0.5005,-15,29,310.7
0027,1,11,9,37,50,10264,-24403,44,1,-1.3087,0.4442,-0.5313,21,-99,173
0027,2,9,20,12,5,10263,-24402,82,1,1.3644,0.3484,-0.6397,17,104,158.1
0027,7,7,13,40,37,10259,-24397,49,1,1.3501,0.4167,-0.6551,-22,-162,194
0027,8,6,5,4,30,10258,-24396,87,1,-1.5179,0.1084,-0.9625,-19,-32,101
0028,1,1,1,24,22,10254,-24391,54,5,-0.6472,1.6572,0.6833,23,23,291.9
0028,6,25,15,3,17,10249,-24385,59,5,0.5784,1.8204,0.7731,-23,176,338.5
0028,12,20,15,7,37,10244,-24379,64,8,0.0255,2.8189,1.8036,24,176,338.2
0029,6,14,22,37,10,10240,-24373,69,7,-0.2151,2.4598,1.4666,-24,62,336.6
0029,12,9,22,35,32,10235,-24367,74,5,0.7499,1.5192,0.4454,24,63,320.3
0030,5,6,6,10,2,10231,-24362,41,3,1.5348,0.0122,-0.9295,-14,-51,29.4
0030,6,4,12,55,0,10230,-24361,79,5,-0.9517,1.0859,0.1371,-23,-153,252.5
0030,11,28,23,11,31,10225,-24355,84,1,1.4521,0.2472,-0.8594,23,52,153
0031,4,25,23,2,48,10221,-24350,51,5,0.8386,1.2986,0.3395,-12,56,272.2
0031,10,19,6,3,52,10216,-24344,56,5,-0.8698,1.2896,0.2349,9,-51,297.6
0032,4,14,11,56,36,10212,-24338,61,8,0.0997,2.6803,1.6697,-9,-137,345.1
0032,10,7,15,38,15,10207,-24332,66,7,-0.1274,2.622,1.6263,5,165,331
0033,4,3,17,37,53,10202,-24326,71,5,-0.6813,1.6399,0.5764,-5,139,332.8
0033,9,27,6,39,46,10197,-24320,76,5,0.5624,1.8071,0.8446,1,-60,297.2
0034,2,22,1,44,1,10193,-24315,43,1,1.4918,0.1584,-0.9166,12,21,120.7
0034,3,23,18,2,46,10192,-24314,81,1,-1.4215,0.2895,-0.7897,-1,133,163.6
0034,8,18,12,50,5,10188,-24309,48,1,-1.3791,0.3217,-0.6671,-15,-149,154.1
0034,9,16,22,38,50,10188,-24308,86,1,1.2595,0.5338,-0.4403,-2,61,189.5
0035,2,11,6,57,48,10184,-24303,53,5,0.7207,1.5488,0.5227,15,-57,307.7
