Year,Month,Day,Hours,Minutes,Seconds,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m)
0482,2,19,16,47,26,5857,-18774,89,5,-0.9326,1.1578,0.1357,10,136,277.2
0482,8,14,18,57,45,5852,-18768,94,5,0.8163,1.3516,0.3684,-13,100,282.6
0483,1,10,4,18,9,5848,-18763,61,1,1.2846,0.552,-0.5493,23,-37,221.6
0483,7,6,3,28,49,5844,-18757,66,5,-1.012,0.9721,0.0293,-24,-27,239.6
0483,8,4,10,31,2,5843,-18756,104,1,1.492,0.094,-0.8541,-16,-133,81.3
0483,12,30,3,33,13,5839,-18751,71,5,0.6026,1.7984,0.7067,24,-27,344.8
0484,6,24,19,26,5,5834,-18745,76,6,-0.2892,2.3137,1.3407,-24,93,324.9
0484,12,18,7,49,8,5829,-18739,81,7,-0.1102,2.6762,1.6356,24,-93,348.3
0485,6,14,5,56,53,5825,-18733,86,5,0.4992,1.9553,0.9289,-23,-66,336.3
0485,12,7,19,15,13,5820,-18727,91,5,-0.7819,1.4174,0.4289,22,94,282.4
0486,5,4,18,23,37,5816,-18722,58,3,-1.5503,0.0493,-1.0222,-18,107,68.9
0486,6,3,9,21,48,5815,-18721,96,1,1.2971,0.511,-0.5546,-21,-117,211.9
0486,10,28,23,59,43,5811,-18716,63,1,1.258,0.5388,-0.4396,15,20,189.5
0486,11,27,10,37,44,5810,-18715,101,1,-1.4138,0.2493,-0.7222,20,-137,130.9
0487,4,23,20,25,16,5806,-18710,68,5,-0.7733,1.4605,0.4178,-14,77,313.8
0487,10,18,12,43,16,5802,-18704,73,5,0.6122,1.7466,0.7229,11,-170,316.3
0488,4,12,5,3,16,5797,-18698,78,8,0.017,2.8218,1.8317,-9,-52,336.2
0488,10,6,18,42,13,5792,-18692,83,7,-0.0953,2.7213,1.6455,6,101,367.6
0489,4,1,19,48,58,5787,-18686,88,5,0.7426,1.4719,0.5185,-5,88,280.3
0489,9,25,18,49,56,5783,-18680,93,5,-0.8081,1.4222,0.329,1,100,324.8
0490,2,21,3,18,45,5779,-18675,60,1,-1.166,0.7104,-0.2736,9,-22,217.3
0490,3,22,12,34,42,5778,-18674,98,1,1.4425,0.1898,-0.768,0,-162,115.3
0490,8,16,6,23,31,5774,-18669,65,1,1.3217,0.4442,-0.5785,-12,-72,186.8
0490,9,14,19,57,5,5773,-18668,103,1,-1.4826,0.1675,-0.8922,-4,84,121.9
0491,2,10,14,6,5,5769,-18663,70,5,-0.4915,1.9771,0.9355,13,177,335.3
0491,8,5,18,16,35,5765,-18657,75,5,0.5281,1.8727,0.9048,-16,111,306.8
0492,1,30,17,26,12,5760,-18651,80,8,0.2197,2.5008,1.4095,17,127,371.3
0492,7,25,10,44,18,5755,-18645,85,7,-0.2078,2.4487,1.5041,-20,-136,314.4
0493,1,18,16,41,33,5750,-18639,90,5,0.9082,1.2397,0.1441,21,137,308
0493,7,15,3,10,25,5746,-18633,95,5,-0.955,1.0881,0.1227,-23,-23,257.1
0493,12,9,5,3,29,5742,-18628,62,1,-1.3062,0.4732,-0.5506,22,-53,188
0494,1,7,19,29,20,5741,-18627,100,1,1.5456,0.0483,-1.0041,24,94,64.8
0494,6,5,3,11,3,5737,-18622,67,5,0.9285,1.1747,0.134,-22,-25,291.4
0494,11,28,18,2,34,5732,-18616,72,5,-0.5869,1.7704,0.7915,21,111,298.7
0495,5,25,5,7,40,5727,-18610,77,8,0.1752,2.5715,1.5022,-21,-55,372.4
0495,11,18,9,43,17,5723,-18604,82,8,0.08,2.6985,1.7236,20,-125,320.9
0496,5,13,6,24,2,5718,-18598,87,5,-0.5867,1.8065,0.7568,-19,-74,338.6
0496,11,6,23,23,50,5713,-18592,92,5,0.7834,1.4275,0.4135,18,29,292.6
0497,4,3,4,6,4,5709,-18587,59,1,1.3134,0.4369,-0.5412,-5,-36,175.8
0497,5,2,13,36,41,5709,-18586,97,1,-1.309,0.4552,-0.5432,-17,178,184.8
0497,9,27,14,4,31,5705,-18581,64,1,-1.4031,0.3256,-0.7583,1,171,171.8
0497,10,27,6,55,24,5704,-18580,102,1,1.5411,0.0652,-1.0043,15,-84,76.8
0498,3,23,19,47,39,5700,-18575,69,5,0.5681,1.7911,0.8395,-1,89,295.8
0498,9,16,13,45,4,5695,-18569,74,5,-0.71,1.5988,0.5123,-3,176,335.6
0499,3,13,12,12,2,5691,-18563,79,7,-0.1419,2.582,1.6129,2,-157,323.2
0499,9,5,16,31,35,5686,-18557,84,8,0.035,2.8146,1.7731,-6,135,355.8
0500,3,2,0,40,27,5681,-18551,89,5,-0.9011,1.2156,0.1934,6,16,283.2
0500,8,25,2,41,11,5676,-18545,94,5,0.7623,1.4506,0.4675,-10,-17,288.5
0501,1,20,12,8,52,5672,-18540,61,1,1.3008,0.5214,-0.5784,21,-154,216
0501,7,16,11,1,18,5667,-18534,66,1,-1.0801,0.8482,-0.0968,-22,-141,227
0501,8,14,18,18,54,5667,-18533,104,1,1.4366,0.1966,-0.7533,-13,109,116.4
0502,1,9,11,36,8,5663,-18528,71,5,0.6109,1.7814,0.6933,22,-147,342.9
0502,7,6,2,40,41,5658,-18522,76,6,-0.3643,2.1778,1.2008,-23,-16,322.9
0502,12,29,16,17,46,5653,-18516,81,7,-0.1063,2.6813,1.6447,23,141,347
0503,6,25,12,42,21,5648,-18510,86,6,0.4191,2.1042,1.0738,-23,-167,343.4
0503,12,19,4,3,22,5644,-18504,91,5,-0.7784,1.4227,0.4364,23,-37,282
0504,6,13,15,44,17,5639,-18498,96,1,1.2125,0.6668,-0.3999,-22,147,238.7
0504,11,8,8,41,40,5635,-18493,63,1,1.2677,0.5226,-0.4591,19,-111,187.4
0504,12,7,19,30,38,5634,-18492,101,1,-1.4123,0.2524,-0.7197,22,90,131.8
0505,5,4,3,15,22,5630,-18487,68,5,-0.8448,1.3269,0.2892,-17,-27,302.5
0505,10,28,21,1,51,5625,-18481,73,5,0.6272,1.7217,0.6926,15,64,316.4
0506,4,23,12,25,55,5620,-18475,78,7,-0.0474,2.7633,1.7786,-13,-164,334.4
0506,10,18,2,30,34,5616,-18469,83,7,-0.0733,2.7643,1.6833,10,-18,369.3
0507,4,13,3,32,37,5611,-18463,88,5,0.6842,1.5772,0.6275,-9,-30,285.9
0507,10,7,2,20,32,5606,-18457,93,5,-0.7769,1.4809,0.3847,5,-14,329.4
0508,3,3,11,24,46,5602,-18452,60,1,-1.2031,0.642,-0.3416,5,-145,208.5
0508,4,1,20,25,3,5601,-18451,98,1,1.3949,0.2765,-0.6802,-4,78,138.3
0508,8,26,13,51,10,5597,-18446,65,1,1.3683,0.3585,-0.6639,-9,175,168.6
0508,9,25,3,35,20,5597,-18445,103,1,-1.4447,0.2374,-0.8228,0,-32,143.9
0509,2,20,21,58,17,5593,-18440,70,5,-0.5232,1.919,0.8772,10,57,333.9
0509,8,16,1,58,44,5588,-18434,75,5,0.5824,1.7732,0.8051,-13,-6,301.7
0510,2,10,1,6,17,5583,-18428,80,8,0.1942,2.5468,1.4571,14,11,372.4
0510,8,5,18,25,38,5578,-18422,85,7,-0.146,2.5633,1.6163,-17,108,316.1
0511,1,30,0,29,38,5573,-18416,90,5,0.8886,1.2736,0.1822,18,20,310.3
0511,7,26,10,36,11,5569,-18410,95,5,-0.8912,1.2075,0.2376,-20,-135,268.3
0511,12,20,13,40,30,5565,-18405,62,1,-1.3042,0.4752,-0.5453,22,179,187.7
0512,1,19,3,44,14,5564,-18404,100,1,1.5313,0.0719,-0.9753,22,-29,78.5
0512,6,15,9,47,2,5560,-18399,67,4,1.0151,1.0175,-0.0264,-23,-124,276.8
0512,12,9,2,54,28,5555,-18393,72,5,-0.5877,1.7684,0.7907,23,-21,298.2
0513,6,4,11,29,13,5550,-18387,77,8,0.2636,2.4091,1.3401,-22,-150,369.5
0513,11,28,18,33,24,5546,-18381,82,8,0.0764,2.706,1.7292,22,103,321.5
0514,5,24,13,0,56,5541,-18375,87,5,-0.5027,1.9586,0.9129,-22,-174,344.5
0514,11,18,7,57,20,5536,-18369,92,5,0.7797,1.4365,0.4182,21,-99,294.4
0515,4,14,11,39,47,5532,-18364,59,1,1.3677,0.3345,-0.6382,-9,-152,154.7
0515,5,13,20,43,57,5531,-18363,97,1,-1.2324,0.5933,-0.4001,-20,70,207.2
0515,10,8,21,39,41,5527,-18358,64,1,-1.4348,0.27,-0.8188,6,56,157.7
0515,11,7,15,0,56,5527,-18357,102,1,1.5328,0.0829,-0.9913,18,154,86.8
0516,4,3,3,39,59,5523,-18352,69,5,0.6205,1.6935,0.7449,-5,-31,290.9
0516,9,26,21,9,37,5518,-18346,74,5,-0.7473,1.5314,0.4428,2,64,330.9
0517,3,23,20,6,37,5513,-18340,79,7,-0.0949,2.6679,1.6995,-2,83,324.6
0517,9,16,0,8,53,5508,-18334,84,7,-0.0065,2.867,1.8254,-2,19,354.8
0518,3,13,8,23,11,5504,-18328,89,5,-0.862,1.2876,0.2652,2,-101,290.1
0518,9,5,10,33,20,5499,-18322,94,5,0.715,1.5376,0.5543,-6,-136,293.2
0519,1,31,19,52,3,5495,-18317,61,1,1.3228,0.48,-0.6176,18,90,208.1
0519,7,27,18,37,31,5490,-18311,66,1,-1.1451,0.7305,-0.2174,-20,105,213.6
0519,8,26,2,14,7,5489,-18310,104,1,1.387,0.2888,-0.6634,-9,-11,139.9
0520,1,20,19,32,49,5485,-18305,71,5,0.6247,1.754,0.6703,20,94,340.3
0520,7,16,9,57,30,5481,-18299,76,6,-0.4368,2.0473,1.0655,-22,-126,320.2
0521,1,9,0,43,42,5476,-18293,81,7,-0.0994,2.6917,1.6598,22,15,345.5
0521,7,5,19,28,10,5471,-18287,86,6,0.3402,2.2513,1.2164,-23,91,349.5
0521,12,29,12,50,36,5466,-18281,91,5,-0.7739,1.4296,0.446,22,-168,281.8
0522,6,24,22,6,12,5462,-18275,96,1,1.1271,0.8243,-0.244,-23,51,261.6
0522,11,19,17,27,50,5458,-18270,63,1,1.2737,0.5132,-0.4716,21,118,186.3
0522,12,19,4,24,18,5457,-18269,101,1,-1.412,0.2531,-0.7193,22,-43,132
0523,5,15,10,0,51,5453,-18264,68,5,-0.9205,1.1856,0.1526,-20,-129,289.2
0523,11,9,5,26,3,5448,-18258,73,5,0.6368,1.7065,0.6725,18,-62,317
0524,5,3,19,44,18,5444,-18252,78,7,-0.1162,2.6345,1.6548,-16,85,332.1
0524,10,28,10,24,53,5439,-18246,83,7,-0.0569,2.7968,1.7112,14,-137,370.8
0525,4,23,11,12,15,5434,-18240,88,5,0.6221,1.6895,0.7429,-12,-146,291.3
0525,10,17,9,59,6,5429,-18234,93,5,-0.7519,1.528,0.4294,9,-130,332.8
0526,3,14,19,23,31,5425,-18229,60,1,-1.2455,0.5642,-0.4191,1,94,197.5
0526,4,13,4,9,35,5425,-18228,98,1,1.3433,0.3709,-0.585,-8,-40,159
0526,9,6,21,27,13,5421,-18223,65,1,1.4087,0.2843,-0.7379,-5,60,150.7
0526,10,6,11,21,56,5420,-18222,103,1,-1.4128,0.2961,-0.7643,5,-150,159.4
0527,3,4,5,41,46,5416,-18217,70,5,-0.561,1.8496,0.8079,5,-60,331.8
0527,8,27,9,48,54,5411,-18211,75,5,0.6303,1.6857,0.717,-9,-125,296.8
0528,2,21,8,35,33,5406,-18205,80,8,0.1605,2.6077,1.5199,10,-102,373.5
0528,8,16,2,14,41,5402,-18199,85,7,-0.0909,2.6657,1.716,-14,-11,317.3
0529,2,9,8,9,9,5397,-18193,90,5,0.8621,1.3199,0.2331,15,-95,313.4
0529,8,5,18,7,29,5392,-18187,95,5,-0.8326,1.3176,0.3426,-17,112,277.9
0529,12,30,22,14,57,5388,-18182,62,1,-1.3046,0.4724,-0.5441,22,51,186.5
0530,1,29,11,53,3,5388,-18181,100,1,1.5117,0.105,-0.9366,19,-151,94.2
0530,6,26,16,23,2,5384,-18176,67,1,1.1001,0.8632,-0.1842,-23,137,260
0530,12,20,11,45,39,5379,-18170,72,5,-0.5893,1.7645,0.7885,23,-153,297.5
0531,6,15,17,48,24,5374,-18164,77,6,0.3536,2.244,1.1749,-23,115,365.2
0531,12,10,3,25,5,5369,-18158,82,8,0.0746,2.7102,1.7319,23,-30,322
0532,6,3,19,36,27,5365,-18152,87,6,-0.4168,2.1145,1.0721,-23,87,349.2
0532,11,28,16,33,14,5360,-18146,92,5,0.7789,1.4398,0.4178,23,132,295.7
0533,4,24,19,8,13,5356,-18141,59,1,1.4266,0.2241,-0.7438,-12,95,127.5
0533,5,24,3,49,59,5355,-18140,97,1,-1.1538,0.7354,-0.2537,-22,-37,226.5
0533,10,19,5,23,14,5351,-18135,64,1,-1.4587,0.2283,-0.8649,10,-61,145.9
0533,11,17,23,11,15,5351,-18134,102,1,1.5291,0.0916,-0.9867,21,31,91.4
0534,4,14,11,25,38,5347,-18129,69,5,0.6786,1.5855,0.6397,-9,-149,285.1
0534,10,8,4,43,19,5342,-18123,74,5,-0.7773,1.4772,0.3868,6,-51,326.7
0535,4,4,3,53,12,5337,-18117,79,7,-0.0418,2.7651,1.7971,-6,-36,325.8
0535,9,27,7,56,26,5332,-18111,84,7,-0.0406,2.8044,1.7627,2,-99,353.6
0536,3,23,15,55,39,5328,-18105,89,5,-0.8153,1.3734,0.3508,-3,144,297.7
0536,9,15,18,35,11,5323,-18099,94,5,0.6749,1.6114,0.6277,-2,102,296.7
0537,2,11,3,27,52,5319,-18094,61,1,1.3504,0.4279,-0.6671,14,-25,197.4
0537,8,7,2,18,44,5314,-18088,66,1,-1.2056,0.6212,-0.33,-17,-11,199.5
0537,9,5,10,16,9,5314,-18087,104,1,1.3429,0.371,-0.5836,-5,-133,157.4
0538,1,31,3,25,9,5310,-18082,71,5,0.6425,1.7187,0.6399,17,-25,337.2
0538,7,27,17,17,25,5305,-18076,76,5,-0.5058,1.9232,0.9363,-20,124,317
0539,1,20,9,5,32,5300,-18070,81,7,-0.0884,2.7093,1.6825,20,-111,344.1
0539,7,17,2,15,12,5295,-18064,86,8,0.2631,2.3952,1.3554,-21,-11,354.6
0540,1,9,21,34,15,5291,-18058,91,5,-0.7661,1.4423,0.462,21,61,281.9
0540,7,5,4,31,16,5286,-18052,96,1,1.0439,0.9779,-0.0922,-22,-46,280.8
0540,11,30,2,14,49,5282,-18047,63,1,1.2789,0.5048,-0.4825,24,-14,185.3
0540,12,29,13,14,13,5281,-18046,101,1,-1.4089,0.2586,-0.7135,22,-175,133.5
0541,5,25,16,46,38,5277,-18041,68,5,-0.9967,1.0436,0.0149,-22,129,274.3
0541,11,19,13,52,58,5273,-18035,73,5,0.6438,1.6959,0.6576,21,171,317.7
0542,5,15,2,59,39,5268,-18029,78,7,-0.1884,2.4998,1.5246,-19,-25,329.1
0542,11,8,18,24,22,5263,-18023,83,7,-0.0452,2.8203,1.7307,17,102,372.1
0543,5,4,18,45,44,5259,-18017,88,5,0.5545,1.8123,0.8682,-16,99,296.6
0543,10,28,17,46,25,5254,-18011,93,5,-0.7338,1.562,0.4616,13,112,335.1
0544,3,25,3,10,43,5250,-18006,60,1,-1.2964,0.4706,-0.5125,-4,-25,182.6
0544,4,23,11,45,5,5249,-18005,98,1,1.2848,0.4781,-0.4775,-12,-155,179
0544,9,17,5,14,51,5245,-18000,65,1,1.4406,0.2256,-0.7965,0,-59,134.5
0544,10,16,19,19,38,5244,-17999,103,1,-1.3888,0.3401,-0.7202,9,89,169.7
0545,3,14,13,14,23,5241,-17994,70,5,-0.6067,1.7657,0.724,1,-175,328.7
0545,9,6,17,47,10,5236,-17988,75,5,0.6719,1.6097,0.6402,-5,114,292.2
0546,3,3,15,56,24,5231,-17982,80,8,0.1203,2.6804,1.5949,6,146,374.5
0546,8,27,10,9,38,5226,-17976,85,7,-0.0411,2.7588,1.8059,-10,-131,318.2
0547,2,20,15,41,42,5222,-17970,90,5,0.829,1.378,0.2962,11,150,317.2
0547,8,17,1,42,51,5217,-17964,95,5,-0.7779,1.4206,0.4402,-14,-3,286.3
0548,1,11,6,47,52,5213,-17959,62,1,-1.3071,0.4655,-0.5465,20,-77,184.6
0548,2,9,19,56,47,5212,-17958,100,1,1.4871,0.1472,-0.8884,15,87,110.7
0548,7,6,22,59,59,5208,-17953,67,1,1.1833,0.7126,-0.3387,-22,37,240.7
0548,12,30,20,35,5,5204,-17947,72,5,-0.5927,1.7573,0.7833,22,75,296.7
0549,6,26,0,10,45,5199,-17941,77,6,0.4409,2.0839,1.0144,-23,19,359.8
0549,12,20,12,16,10,5194,-17935,82,8,0.0726,2.7142,1.735,24,-162,322.6
0550,6,15,2,13,49,5190,-17929,87,6,-0.3314,2.2698,1.2303,-24,-13,352.7
0550,12,10,1,9,23,5185,-17923,92,5,0.779,1.4413,0.4161,24,3,296.9
0551,5,6,2,33,23,5181,-17918,59,1,1.4885,0.1083,-0.8553,-15,-18,89.2
0551,6,4,10,56,21,5180,-17917,97,1,-1.0744,0.879,-0.1062,-24,-144,242.9
0551,10,30,13,12,52,5176,-17912,64,1,-1.4777,0.1955,-0.9016,13,-180,135.7
0551,11,29,7,22,40,5176,-17911,102,1,1.5266,0.0978,-0.9837,23,-91,94.7
0552,4,24,19,5,7,5172,-17906,69,5,0.7419,1.4682,0.5244,-13,95,278.1
0552,10,18,12,26,42,5167,-17900,74,5,-0.8,1.4364,0.3446,10,-168,323.4
0553,4,14,11,31,59,5162,-17894,79,8,0.0174,2.8099,1.8418,-10,-152,326.7
0553,10,7,15,53,5,5158,-17888,84,7,-0.0681,2.7538,1.7124,6,140,352.3
0554,4,3,23,18,17,5153,-17882,89,5,-0.7612,1.4729,0.4498,-7,32,305.8
0554,9,27,2,46,1,5148,-17876,94,5,0.6416,1.6726,0.6884,3,-23,299.3
0555,2,22,10,52,57,5144,-17871,61,1,1.3863,0.3607,-0.7313,11,-137,182.3
0555,3,24,3,43,32,5144,-17870,99,2,-1.5487,0.0532,-1.0202,-3,-34,71
0555,8,18,10,5,54,5140,-17865,66,1,-1.2609,0.5216,-0.4335,-14,-129,185
0555,9,16,18,26,52,5139,-17864,104,1,1.3058,0.4403,-0.5171,-1,103,170.4
0556,2,11,11,9,19,5135,-17859,71,5,0.6675,1.6701,0.5967,14,-141,333.1
0556,8,7,0,41,59,5130,-17853,76,5,-0.5701,1.8082,0.8156,-17,12,313.5
0557,1,30,17,21,29,5126,-17847,81,7,-0.0718,2.737,1.7158,17,125,342.7
0557,7,27,9,6,13,5121,-17841,86,8,0.19,2.5321,1.4871,-19,-114,358.7
0558,1,20,6,14,47,5116,-17835,91,5,-0.7554,1.4601,0.4833,19,-69,282.4
0558,7,16,10,57,54,5112,-17829,96,5,0.9616,1.1301,0.0577,-21,-143,297.4
0558,12,11,11,3,49,5108,-17824,63,1,1.2824,0.4995,-0.4899,25,-145,184.9
0559,1,9,22,2,29,5107,-17823,101,1,-1.4049,0.2656,-0.7059,20,53,135.3
0559,6,5,23,31,22,5103,-17818,68,1,-1.0745,0.8988,-0.126,-24,27,257.4
0559,11,30,22,22,15,5098,-17812,73,5,0.648,1.6902,0.648,23,44,318.6
0560,5,25,10,13,38,5094,-17806,78,7,-0.2624,2.3619,1.3906,-22,-134,325.4
0560,11,19,2,28,7,5089,-17800,83,7,-0.0373,2.8366,1.7435,20,-19,373.2
0561,5,15,2,17,7,5084,-17794,88,5,0.485,1.9387,0.9967,-19,-15,301.3
0561,11,8,1,38,42,5080,-17788,93,5,-0.7195,1.589,0.4873,17,-7,336.7
0562,4,5,10,51,17,5076,-17783,60,1,-1.352,0.3686,-0.6147,-8,-142,163.6
0562,5,4,19,16,30,5075,-17782,98,1,1.2233,0.5911,-0.3648,-15,91,197.3
0562,9,28,13,11,14,5071,-17777,65,1,1.4663,0.1785,-0.8435,4,-180,119.8
0562,10,28,3,24,31,5070,-17776,103,1,-1.3698,0.3747,-0.6852,13,-33,177
0563,3,25,20,36,29,5067,-17771,70,5,-0.6602,1.6676,0.626,-3,73,324.3
0563,9,18,1,54,29,5062,-17765,75,5,0.7065,1.5466,0.5761,-1,-9,288.1
0564,3,13,23,6,18,5057,-17759,80,8,0.0713,2.7691,1.686,2,37,375.3
0564,9,6,18,12,55,5053,-17753,85,8,0.0017,2.8328,1.8764,-6,107,318.8
0565,3,2,23,4,59,5048,-17747,90,5,0.7879,1.4508,0.3743,7,38,321.7
0565,8,27,9,25,59,5043,-17741,95,5,-0.7303,1.5109,0.5248,-10,-120,293.4
0566,1,21,15,15,54,5039,-17736,62,1,-1.3141,0.4503,-0.5568,18,156,181.1
0566,2,20,3,53,5,5039,-17735,100,1,1.4558,0.2014,-0.828,12,-33,128.2
0566,7,18,5,38,45,5035,-17730,67,1,1.2637,0.5673,-0.4884,-20,-63,218.6
0566,8,16,19,12,38,5034,-17729,105,2,-1.5296,0.0708,-0.9678,-15,94,78.6
0567,1,11,5,21,17,5030,-17724,72,5,-0.599,1.7445,0.773,21,-56,295.6
0567,7,7,6,34,55,5025,-17718,77,5,0.5263,1.9277,0.8573,-22,-77,353.2
0567,12,31,21,4,38,5021,-17712,82,8,0.0689,2.7213,1.7416,23,67,323.1
0568,6,25,8,53,42,5016,-17706,87,7,-0.2473,2.423,1.3859,-24,-113,355
0568,12,20,9,45,4,5011,-17700,92,5,0.7798,1.4411,0.4134,24,-125,297.9
0569,6,14,18,3,30,5007,-17694,97,5,-0.9946,1.0238,0.0418,-24,109,257.2
0569,11,9,21,8,4,5003,-17689,64,1,-1.4916,0.1715,-0.9288,17,61,127.6
0569,12,9,15,35,23,5002,-17688,102,1,1.5258,0.1007,-0.9835,25,146,96.4
0570,5,6,2,39,45,4998,-17683,69,5,0.8093,1.3438,0.4016,-16,-20,269.9
0570,10,29,20,18,13,4994,-17677,74,5,-0.8163,1.4068,0.3141,14,73,320.7
0571,4,25,19,2,19,4989,-17671,79,8,0.083,2.6897,1.7212,-14,94,327.2
0571,10,18,23,59,27,4984,-17665,84,7,-0.0884,2.7164,1.6754,11,17,351
0572,4,14,6,32,5,4980,-17659,89,5,-0.7009,1.5839,0.5601,-11,-78,314.1
0572,10,7,11,5,9,4975,-17653,94,5,0.6148,1.722,0.7374,7,-149,301.1
0573,3,4,18,10,9,4971,-17648,61,1,1.4279,0.2825,-0.8062,7,112,162.4
0573,4,3,10,40,47,4970,-17647,99,1,-1.4914,0.1577,-0.9143,-7,-140,121.3
0573,8,28,17,59,54,4966,-17642,66,1,-1.3104,0.4329,-0.5263,-10,111,170.3
0573,9,27,2,44,59,4966,-17641,104,1,1.2751,0.4981,-0.4621,4,-24,180.3
0574,2,21,18,47,51,4962,-17636,71,5,0.6978,1.6116,0.544,10,103,328.3
0574,8,18,8,10,53,4957,-17630,76,5,-0.6298,1.7016,0.703,-13,-101,309.7
0575,2,11,1,32,10,4952,-17624,81,7,-0.0499,2.7742,1.7589,13,2,341.2
0575,8,7,16,1,52,4948,-17618,86,8,0.1212,2.661,1.6104,-16,141,362
0576,1,31,14,48,13,4943,-17612,91,5,-0.7385,1.4893,0.5163,16,162,283.5
0576,7,26,17,31,30,4939,-17606,96,5,0.8844,1.2729,0.198,-18,118,311
0576,12,21,19,50,46,4935,-17601,63,1,1.2876,0.4907,-0.5003,25,84,183.9
0577,1,20,6,44,41,4934,-17600,101,1,-1.3962,0.2812,-0.6894,18,-77,139.1
0577,6,16,6,19,1,4930,-17595,68,1,-1.1505,0.7577,-0.2639,-25,-75,238.8
0577,12,11,6,50,38,4925,-17589,73,5,0.6524,1.6837,0.6384,24,-83,319.5
0578,6,5,17,27,34,4921,-17583,78,6,-0.3375,2.2225,1.2545,-23,118,320.9
0578,11,30,10,34,2,4916,-17577,83,7,-0.0317,2.8481,1.7524,22,-140,374.1
0579,5,26,9,43,51,4911,-17571,88,6,0.4114,2.0731,1.1325,-21,-127,305.6
0579,11,19,9,37,50,4907,-17565,93,5,-0.7103,1.6061,0.5039,20,-127,337.6
0580,4,15,18,21,52,4903,-17560,60,1,-1.4151,0.2533,-0.7306,-12,104,137.5
0580,5,15,2,41,40,4902,-17559,98,1,1.157,0.7131,-0.2437,-18,-21,214.6
0580,10,8,21,17,59,4898,-17554,65,1,1.4847,0.1446,-0.8771,8,57,107.8
0580,11,7,11,37,22,4898,-17553,103,1,-1.3563,0.399,-0.6599,16,-157,181.7
0581,4,5,3,48,48,4894,-17548,70,5,-0.7208,1.5565,0.5147,-7,-37,318.6
0581,9,28,10,10,51,4889,-17542,75,5,0.7344,1.496,0.5244,4,-135,284.6
0582,3,25,6,7,37,4884,-17536,80,8,0.0155,2.8702,1.7896,-3,-70,375.6
0582,9,18,2,23,5,4880,-17530,85,8,0.0385,2.7671,1.807,-1,-17,319.2
0583,3,14,6,21,40,4875,-17524,90,5,0.7406,1.5347,0.4638,2,-73,326.5
0583,9,7,17,15,19,4871,-17518,95,5,-0.6887,1.5903,0.5982,-6,121,299.4
0584,2,1,23,38,54,4867,-17513,62,1,-1.3256,0.4264,-0.5754,15,29,175.9
0584,3,2,11,42,34,4866,-17512,100,1,1.4183,0.2671,-0.7558,7,-152,146.1
0584,7,28,12,22,13,4862,-17507,67,1,1.339,0.4314,-0.629,-17,-165,193.7
0584,8,27,2,28,31,4861,-17506,105,1,-1.4809,0.1633,-0.8815,-11,-17,119
0585,1,21,14,3,47,4857,-17501,72,5,-0.6083,1.7261,0.7573,19,173,294.3
0585,7,17,13,4,6,4853,-17495,77,5,0.6076,1.7791,0.7076,-21,-175,345.7
0586,1,11,5,49,30,4848,-17489,82,8,0.0626,2.7329,1.7531,22,-64,323.7
0586,7,6,15,38,20,4844,-17483,87,7,-0.1662,2.5707,1.5357,-23,146,356.1
0586,12,31,18,16,58,4839,-17477,92,5,0.7779,1.4455,0.4158,24,108,299.2
0587,6,26,1,13,11,4834,-17471,97,5,-0.9157,1.1672,0.1879,-24,2,269.3
0587,11,21,5,7,11,4831,-17466,64,1,-1.5021,0.1535,-0.9492,19,-59,121.1
0587,12,20,23,46,2,4830,-17465,102,1,1.5237,0.1054,-0.9807,25,24,98.8
0588,5,16,10,10,43,4826,-17460,69,5,0.8796,1.2143,0.2731,-19,-134,260.4
0588,11,9,4,15,35,4821,-17454,74,5,-0.8283,1.3849,0.2921,17,-47,318.5
0589,5,6,2,27,11,4817,-17448,79,8,0.1525,2.5627,1.5932,-17,-18,327.1
0589,10,29,8,13,54,4812,-17442,84,7,-0.1026,2.6901,1.6498,14,-107,349.6
0590,4,25,13,36,38,4807,-17436,89,5,-0.6336,1.7078,0.6829,-14,175,322.4
0590,10,18,19,32,46,4803,-17430,94,5,0.5946,1.7592,0.7743,11,83,302.2
0591,3,16,1,16,48,4799,-17425,61,1,1.4777,0.1894,-0.8958,2,4,134
0591,4,14,17,27,28,4798,-17424,99,1,-1.4258,0.2773,-0.7934,-11,117,159.3
0591,9,9,2,1,43,4794,-17419,66,1,-1.3534,0.3561,-0.6075,-6,-11,156
0591,10,8,11,11,50,4794,-17418,104,1,1.2514,0.5431,-0.42,8,-152,187.6
0592,3,4,2,16,44,4790,-17413,71,5,0.7367,1.5372,0.4757,6,-11,322.1
0592,8,28,15,47,5,4785,-17407,76,5,-0.6828,1.6075,0.6026,-9,143,306
0593,2,21,9,36,13,4781,-17401,81,7,-0.0214,2.8233,1.8141,10,-120,339.7
0593,8,17,23,2,30,4776,-17395,86,8,0.0572,2.7814,1.7251,-13,35,364.5
0594,2,10,23,16,48,4771,-17389,91,5,-0.7172,1.5263,0.5573,13,35,285.1
0594,8,7,0,10,3,4767,-17383,96,5,0.8107,1.4095,0.3318,-16,18,322.5
0595,1,2,4,36,3,4763,-17378,63,1,1.2938,0.4799,-0.5122,24,-47,182.5
