Year,Month,Day,Hour,Minute,Second,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth
300,10,29,12,0,54,7638,-21016,67,11,-1.2118,0.5973,-70.6,-106.4,0,136
301,4,25,9,4,15,7633,-21010,72,14,0.461,1.0526,39.8,66.3,62,162
301,10,18,14,56,19,7628,-21004,77,1,-0.4787,0.9672,-37.5,-25.1,61,20
302,4,14,21,17,0,7624,-20998,82,1,-0.3045,0.9974,-7.6,-102.8,72,344
302,10,8,1,17,57,7619,-20992,87,14,0.2474,1.0263,7.9,-166.3,76,197
303,4,4,2,9,0,7614,-20986,92,11,-1.0945,0.8007,-71.8,-106.5,0,287
303,9,27,16,41,24,7610,-20980,97,14,0.924,1.0463,60.6,-5.2,22,219
304,2,22,10,9,17,7606,-20975,64,11,1.1031,0.7851,71.2,5.8,0,124
304,8,17,22,33,3,7601,-20969,69,11,-1.0145,0.9705,-70.7,-173.1,0,45
305,2,10,16,7,59,7596,-20963,74,1,0.3393,0.9944,5.2,-30.6,70,167
305,8,7,7,8,56,7592,-20957,79,1,-0.2898,0.9697,0.2,102,73,11
306,1,31,4,53,16,7587,-20951,84,14,-0.3761,1.0408,-39.3,147.7,68,347
306,7,27,9,3,59,7582,-20945,89,1,0.4683,0.9422,47.5,81.8,62,191
307,1,20,20,48,20,7578,-20939,94,11,-1.0455,0.9243,-68.7,63,0,199
307,7,16,9,55,38,7573,-20933,99,11,1.2031,0.6164,67.9,-127,0,350
307,12,11,21,47,9,7569,-20928,66,11,1.0308,0.9217,64.8,-92.1,0,202
308,6,5,7,28,21,7564,-20922,71,14,-0.7341,1.0389,-23.7,108.1,43,347
308,11,30,2,16,27,7560,-20916,76,1,0.3664,0.9284,-1.1,-179.1,69,194
309,5,25,23,26,8,7555,-20910,81,14,0.0334,1.0799,23.1,-142.3,88,164
309,11,19,1,28,42,7550,-20904,86,1,-0.3133,0.9181,-37.1,179.1,72,22
310,5,15,16,34,57,7545,-20898,91,14,0.7804,1.0596,63.9,-76.4,38,133
310,11,8,2,47,32,7541,-20892,96,6,-0.981,0.9405,-67.3,62.6,10,109
311,4,5,18,47,59,7537,-20887,63,11,-1.1156,0.7737,-60.9,8.9,0,283
311,9,29,0,14,7,7532,-20881,68,11,1.1035,0.813,60.9,-68.3,0,266
312,3,24,21,43,57,7527,-20875,73,1,-0.3936,0.9401,-18.4,-101.3,67,329
312,9,17,16,18,56,7523,-20869,78,14,0.4032,1.0581,22.8,-22.5,66,212
313,3,13,21,48,58,7518,-20863,83,1,0.3416,0.9442,14.9,-123.3,70,150
313,9,7,7,32,57,7513,-20857,88,14,-0.3108,1.028,-9.8,88.7,72,29
314,3,3,2,25,9,7509,-20851,93,11,1.0507,0.891,60.9,101.1,0,104
314,8,27,17,29,13,7504,-20845,98,11,-1.0922,0.8136,-61.3,-121.7,0,68
315,1,22,4,6,13,7500,-20840,65,14,-0.9636,1.0344,-71.5,-104.1,15,252
315,7,18,4,34,43,7495,-20834,70,11,1.0183,0.9296,63.5,-74.6,0,325
316,1,11,19,59,24,7491,-20828,75,14,-0.2935,1.0406,-38.5,-80.1,73,342
316,7,6,6,35,51,7486,-20822,80,1,0.24,0.975,36.7,115.9,76,193
316,12,31,9,2,13,7481,-20816,85,1,0.4067,0.9915,0.4,73.3,66,170
317,6,25,15,23,13,7477,-20810,90,14,-0.537,1.0288,-8.7,-23.8,57,6
317,12,20,15,19,59,7472,-20804,95,11,1.1482,0.7066,65.8,-31.7,0,168
318,5,16,23,53,36,7468,-20799,62,11,1.2444,0.5501,69,55.7,0,23
318,6,15,6,29,9,7467,-20798,100,11,-1.2512,0.5368,-66.4,106.9,0,6
318,11,9,19,58,19,7463,-20793,67,11,-1.2209,0.5822,-69.7,120.8,0,149
319,5,6,16,29,8,7458,-20787,72,14,0.5318,1.0508,48,-46.8,58,163
319,10,29,23,10,6,7454,-20781,77,1,-0.4892,0.9679,-42.3,-149,60,18
320,4,25,4,21,58,7449,-20775,82,1,-0.2349,0.9965,0,147.9,76,346
320,10,18,9,46,9,7444,-20769,87,14,0.2308,1.0263,2.9,64.8,77,196
321,4,14,8,55,50,7440,-20763,92,11,-1.0274,0.9159,-71.4,137.3,0,301
321,10,8,1,9,39,7435,-20757,97,14,0.9018,1.0445,54.6,-141.7,25,211
322,3,4,17,34,33,7431,-20752,64,11,1.1412,0.7212,71.7,-120,0,110
322,8,29,6,13,2,7426,-20746,69,11,-1.0658,0.8736,-71.3,57.9,0,58
323,2,22,0,7,59,7422,-20740,74,7,0.3671,1.0004,10.5,-152.9,68,164
323,8,18,14,13,22,7417,-20734,79,1,-0.3525,0.9638,-6.7,-6.8,69,14
324,2,11,13,18,54,7412,-20728,84,14,-0.3543,1.0457,-34.3,21.2,69,344
324,8,6,15,44,50,7407,-20722,89,1,0.3967,0.9399,39.9,-18.8,66,194
325,1,31,5,23,25,7403,-20716,94,11,-1.0308,0.9526,-69.7,-78.6,0,211
325,7,26,16,41,44,7398,-20710,99,11,1.1276,0.7472,68.9,119.3,0,339
325,12,22,6,16,14,7394,-20705,66,11,1.0365,0.9106,65.9,129.9,0,191
326,6,16,14,42,1,7389,-20699,71,14,-0.8071,1.0403,-30,-3,36,352
326,12,11,10,23,28,7385,-20693,76,1,0.3724,0.9267,-1.7,58,68,189
327,6,6,6,52,21,7380,-20687,81,17,-0.0413,1.081,20.5,106.9,88,347
327,11,30,9,29,55,7375,-20681,86,1,-0.3063,0.9183,-39.3,60.5,72,18
328,5,25,23,56,30,7370,-20675,91,14,0.7077,1.0596,63,-175.9,45,145
328,11,18,11,4,9,7366,-20669,96,1,-0.9722,0.9426,-70.6,-66,13,113
329,4,16,1,51,19,7362,-20664,63,11,-1.1855,0.65,-61.2,-106.4,0,291
329,5,15,13,16,33,7361,-20663,101,12,1.5194,0.046,62.9,-122.2,0,45
329,10,9,8,39,31,7357,-20658,68,11,1.1227,0.7769,61,155.9,0,256
330,4,5,4,33,27,7352,-20652,73,1,-0.4603,0.9413,-18.1,156.3,62,330
330,9,29,0,40,17,7348,-20646,78,14,0.4313,1.054,20,-148.8,64,211
331,3,25,4,52,12,7343,-20640,83,1,0.2836,0.9493,16.1,130.8,73,150
331,9,18,15,33,8,7338,-20634,88,14,-0.2754,1.0221,-12.1,-32.1,74,30
332,3,13,10,1,57,7333,-20628,93,3,1.0036,0.9779,60.7,-22.5,0,95
332,9,7,0,56,45,7329,-20622,98,11,-1.0491,0.8869,-60.9,117,0,77
333,2,1,12,39,53,7325,-20617,65,14,-0.9795,1.0368,-67.6,127.7,11,252
333,7,28,11,9,49,7320,-20611,70,11,1.0937,0.8007,62.8,176.6,0,316
334,1,22,4,39,12,7315,-20605,75,14,-0.3052,1.041,-36.5,151.7,72,338
334,7,17,13,23,32,7311,-20599,80,1,0.3168,0.9759,39.4,16.7,71,199
335,1,11,17,31,30,7306,-20593,85,1,0.4009,0.9901,1.1,-55.3,66,166
335,7,6,22,34,59,7301,-20587,90,14,-0.4608,1.0319,-4,-133.3,63,11
335,12,31,23,29,52,7296,-20581,95,11,1.1448,0.7123,64.7,-165,0,157
336,5,27,7,20,31,7293,-20576,62,11,1.316,0.4107,68.1,-68.3,0,12
336,6,25,13,54,25,7292,-20575,100,11,-1.1774,0.6799,-65.4,-15.6,0,16
336,11,20,4,0,39,7288,-20570,67,11,-1.2263,0.5732,-68.7,-12.6,0,161
337,5,16,23,50,4,7283,-20564,72,14,0.6053,1.0481,56.2,-157.8,52,166
337,11,9,7,29,17,7278,-20558,77,1,-0.4961,0.9691,-46.6,87,60,15
338,5,6,11,22,3,7274,-20552,82,4,-0.1621,0.9949,7.4,40.2,81,349
338,10,29,18,20,54,7269,-20546,87,14,0.219,1.0266,-1.6,-65.5,77,193
339,4,25,15,35,16,7264,-20540,92,1,-0.9545,0.9409,-57,0.8,17,334
339,10,19,9,44,42,7259,-20534,97,14,0.8852,1.0425,49.5,82.6,27,204
340,3,15,0,51,25,7255,-20529,64,11,1.1866,0.6442,71.9,116,0,96
340,9,8,14,0,38,7251,-20523,69,11,-1.1098,0.7912,-71.7,-73.6,0,72
341,3,4,7,58,43,7246,-20517,74,7,0.4033,1.0065,16.6,86.7,66,162
341,8,28,21,26,32,7241,-20511,79,1,-0.4068,0.9579,-13.5,-118.1,66,16
342,2,21,21,36,39,7237,-20505,84,14,-0.3256,1.0507,-28.6,-104.3,71,342
342,8,17,22,33,14,7232,-20499,89,1,0.3313,0.9374,32.4,-122.3,70,196
343,2,11,13,51,49,7227,-20493,94,11,-1.011,0.9909,-70.5,140.8,0,224
343,8,6,23,35,10,7222,-20487,99,11,1.0571,0.8695,69.8,3.1,0,328
344,1,2,14,42,39,7218,-20482,66,11,1.044,0.8967,67,-8,0,180
344,6,26,21,56,50,7214,-20476,71,14,-0.8798,1.0405,-38.3,-115.5,28,356
344,12,21,18,30,19,7209,-20470,76,1,0.3783,0.9258,-1.5,-64.8,68,185
345,6,16,14,18,48,7204,-20464,81,14,-0.1162,1.0811,17,-4.5,83,352
345,12,10,17,32,53,7199,-20458,86,1,-0.3003,0.9191,-40.6,-57.9,72,12
346,6,6,7,17,19,7195,-20452,91,14,0.6346,1.0586,60.9,83.5,50,157
346,11,29,19,25,12,7190,-20446,96,1,-0.9664,0.9449,-74.1,160.6,14,121
347,4,27,8,47,40,7186,-20441,63,11,-1.2601,0.5183,-61.6,139.9,0,300
347,5,26,20,15,24,7185,-20440,101,11,1.4489,0.1753,63.6,123.1,0,35
347,10,20,17,12,8,7181,-20435,68,11,1.1367,0.7504,61.4,18.3,0,247
348,4,15,11,15,44,7176,-20429,73,1,-0.5326,0.9424,-18.8,55.6,58,332
348,10,9,9,8,38,7172,-20423,78,14,0.454,1.0501,17.2,82.8,63,210
349,4,4,11,48,32,7167,-20417,83,1,0.2189,0.9542,17,27,77,150
349,9,28,23,41,3,7162,-20411,88,9,-0.2467,1.0163,-15,-154.9,76,30
350,3,24,17,33,4,7158,-20405,93,1,0.9504,0.989,57.3,-110.8,18,116
350,9,18,8,30,51,7153,-20399,98,2,-1.0119,0.9493,-60.8,-6,0,86
351,2,12,21,6,45,7149,-20394,65,15,-1.0018,1.0102,-61.7,13.6,0,241
351,8,8,17,52,21,7144,-20388,70,11,1.1632,0.6821,62.1,66.2,0,307
352,2,2,13,10,52,7139,-20382,75,14,-0.3236,1.0417,-34.2,24.9,71,334
352,7,27,20,18,57,7135,-20376,80,1,0.3881,0.9763,40.7,-84.2,67,204
353,1,22,1,53,3,7130,-20370,85,1,0.3893,0.9894,2.1,178,67,162
353,7,17,5,53,15,7125,-20364,90,14,-0.389,1.0341,-0.6,116,67,15
354,1,11,7,33,10,7120,-20358,95,11,1.1363,0.7266,63.8,63.8,0,147
354,6,7,14,46,56,7116,-20353,62,11,1.3882,0.2704,67.1,168.3,0,1
354,7,6,21,23,38,7116,-20352,100,11,-1.1062,0.8178,-64.5,-138.6,0,25
354,12,1,12,7,6,7112,-20347,67,11,-1.2292,0.5686,-67.7,-146.5,0,173
355,5,28,7,5,38,7107,-20341,72,14,0.6827,1.0446,64.6,94.5,47,170
355,11,20,15,55,14,7102,-20335,77,1,-0.4984,0.9708,-49.9,-37.4,60,10
356,5,16,18,14,27,7097,-20329,82,1,-0.0835,0.9929,14.7,-65,85,352
356,11,9,3,2,18,7093,-20323,87,14,0.2122,1.0272,-5.3,162.9,78,190
357,5,5,22,7,36,7088,-20317,92,1,-0.8758,0.944,-43.6,-109.9,29,345
357,10,29,18,26,42,7083,-20311,97,14,0.8744,1.0406,45.3,-53.7,29,199
358,3,26,8,2,37,7079,-20306,64,11,1.237,0.5574,71.9,-6.6,0,83
358,9,19,21,53,58,7074,-20300,69,11,-1.1483,0.7198,-71.9,153.2,0,86
359,3,15,15,44,41,7070,-20294,74,7,0.4444,1.0126,23.2,-32.8,63,161
359,9,9,4,45,34,7065,-20288,79,1,-0.4555,0.952,-20.4,128.9,63,18
360,3,4,5,47,15,7060,-20282,84,14,-0.2905,1.0557,-22.4,131.2,73,342
360,8,28,5,30,14,7055,-20276,89,1,0.2727,0.9348,25.1,131.5,74,197
361,2,21,22,12,14,7051,-20270,94,14,-0.985,1.0395,-74.3,-26.7,9,264
361,8,17,6,38,48,7046,-20264,99,5,0.9936,0.9481,73.8,-128,5,304
362,1,12,23,2,10,7042,-20259,66,11,1.0565,0.8743,68,-144.7,0,169
362,7,8,5,17,57,7037,-20253,71,14,-0.948,1.0393,-49.2,128.7,18,1
363,1,2,2,32,58,7032,-20247,76,1,0.387,0.9254,-0.3,173.3,67,180
363,6,27,21,46,29,7028,-20241,81,14,-0.1899,1.0804,12.7,-116.8,79,357
363,12,22,1,35,17,7023,-20235,86,1,-0.2937,0.9207,-40.8,-175.9,73,6
364,6,16,14,36,12,7018,-20229,91,14,0.5608,1.0566,57.4,-18.6,56,167
364,12,10,3,47,33,7013,-20223,96,1,-0.9609,0.9479,-77.7,24.3,15,131
365,5,7,15,35,42,7009,-20218,63,11,-1.3402,0.3772,-62.2,28.2,0,309
365,6,6,3,10,31,7009,-20217,101,11,1.3761,0.3084,64.4,9,0,26
365,10,31,1,52,16,7005,-20212,68,11,1.145,0.7347,61.9,-121.4,0,238
366,4,26,17,50,18,7000,-20206,73,1,-0.611,0.943,-20.6,-43.3,52,334
366,10,20,17,43,30,6995,-20200,78,14,0.471,1.0464,14.4,-47.5,62,207
367,4,15,18,38,26,6990,-20194,83,1,0.1482,0.959,17.5,-74.9,81,152
367,10,10,7,55,49,6986,-20188,88,7,-0.2245,1.0105,-18.3,80.7,77,30
368,4,4,0,56,17,6981,-20182,93,1,0.8896,0.9977,55.8,146.6,27,123
368,9,28,16,13,3,6976,-20176,98,6,-0.9818,0.9459,-60.2,-110.3,10,77
369,2,23,5,26,33,6972,-20171,65,11,-1.0301,0.9583,-61.2,-120.9,0,250
369,8,19,0,43,14,6967,-20165,70,11,1.2258,0.5758,61.5,-46.2,0,298
370,2,12,21,36,2,6962,-20159,75,14,-0.347,1.0425,-31.6,-100.7,70,331
370,8,8,3,22,48,6958,-20153,80,1,0.4533,0.9765,41,172.6,63,209
371,2,2,10,8,42,6953,-20147,85,1,0.3735,0.9889,3.7,52.8,68,158
371,7,28,13,16,47,6948,-20141,90,14,-0.3207,1.0357,1.6,4.5,71,19
372,1,22,15,31,21,6943,-20135,95,11,1.1241,0.7473,62.9,-65.8,0,138
372,6,17,22,13,25,6939,-20130,62,13,1.4603,0.1305,66.1,45.3,0,351
372,7,17,4,56,56,6939,-20129,100,11,-1.0379,0.9497,-63.6,97.7,0,35
372,12,11,20,14,0,6935,-20124,67,11,-1.232,0.5641,-66.6,80.2,0,184
373,6,7,14,20,16,6930,-20118,72,14,0.7601,1.0401,72.7,-8,40,179
373,12,1,0,23,43,6925,-20112,77,1,-0.4996,0.9732,-52.3,-161.1,60,4
374,5,28,1,4,3,6920,-20106,82,1,-0.0035,0.9903,21.4,-168.7,90,347
374,11,20,11,46,54,6916,-20100,87,14,0.2076,1.0283,-8.3,30.8,78,187
375,5,17,4,35,36,6911,-20094,92,1,-0.7934,0.9459,-32.9,146,37,351
375,11,10,3,13,23,6906,-20088,97,14,0.8677,1.0388,42,169.5,29,194
376,4,5,15,5,4,6902,-20083,64,11,1.2949,0.4567,71.6,-126.9,0,69
376,5,5,5,9,34,6901,-20082,102,12,-1.5322,0.0487,-69.9,166.1,0,325
376,9,30,5,55,50,6897,-20077,69,11,-1.1791,0.6633,-71.9,17.8,0,100
377,3,25,23,22,23,6893,-20071,74,14,0.4932,1.0184,30.4,-150.6,60,159
377,9,19,12,13,48,6888,-20065,79,1,-0.4959,0.9464,-27.1,13.8,60,20
378,3,15,13,50,1,6883,-20059,84,14,-0.2483,1.0606,-15.6,8.1,76,342
378,9,8,12,37,19,6878,-20053,89,1,0.2222,0.9322,18,22.5,77,198
379,3,5,6,24,24,6873,-20047,94,14,-0.9524,1.0438,-69.7,170.8,17,301
379,8,28,13,51,24,6869,-20041,99,1,0.9364,0.9517,71.7,55.2,20,239
380,1,24,7,16,41,6865,-20036,66,11,1.0722,0.8464,69.1,79.3,0,157
380,7,18,12,43,15,6860,-20030,71,11,-1.0132,0.9869,-68.2,4.3,0,13
381,1,12,10,30,55,6855,-20024,76,1,0.3991,0.9256,1.9,52.3,66,176
381,7,8,5,17,9,6850,-20018,81,14,-0.2612,1.0788,7.6,129.4,75,1
382,1,1,9,36,33,6846,-20012,86,1,-0.2861,0.9228,-39.9,66.2,73,1
382,6,27,21,55,37,6841,-20006,91,14,0.4878,1.0538,52.9,-123.1,61,175
382,12,21,12,10,55,6836,-20000,96,1,-0.9555,0.9513,-81.4,-117.6,17,146
383,5,18,22,19,9,6832,-19995,63,11,-1.4227,0.2323,-63,-82.6,0,318
383,6,17,10,4,4,6831,-19994,101,11,1.3025,0.4418,65.3,-105,0,17
383,11,11,10,37,13,6827,-19989,68,11,1.1502,0.7249,62.5,97.7,0,228
384,5,7,0,18,55,6822,-19983,73,1,-0.6941,0.9432,-24,-140.9,46,336
384,10,31,2,24,17,6818,-19977,78,14,0.4831,1.0431,11.9,-179.4,61,204
385,4,26,1,24,14,6813,-19971,83,1,0.0732,0.9636,17.5,-175.6,86,155
385,10,20,16,16,17,6808,-19965,88,7,-0.2077,1.0052,-21.7,-44.9,78,28
386,4,15,8,15,41,6803,-19959,93,7,0.8246,1.0055,55.3,42.7,34,128
386,10,10,0,2,21,6798,-19953,98,1,-0.9583,0.9422,-60.9,135.8,16,75
387,3,6,13,38,22,6795,-19948,65,11,-1.0654,0.8923,-61,106.7,0,259
387,4,4,21,52,16,6794,-19947,103,12,1.5046,0.0533,61.1,140,0,78
387,8,30,7,43,13,6790,-19942,70,11,1.2812,0.482,61.1,-160.7,0,289
388,2,24,5,52,0,6785,-19936,75,14,-0.3781,1.0432,-29,135.6,68,329
388,8,18,10,36,49,6780,-19930,80,1,0.5112,0.9763,40.3,66.3,59,213
389,2,12,18,13,26,6775,-19924,85,1,0.3491,0.9887,5.3,-69.6,70,155
389,8,7,20,49,26,6771,-19918,90,14,-0.259,1.0366,2.6,-109.1,75,22
390,2,1,23,20,58,6766,-19912,95,11,1.105,0.7797,62.2,166.9,0,128
390,7,28,12,35,0,6761,-19906,100,14,-0.9732,1.0595,-52.8,-12.4,13,32
390,12,23,4,21,36,6757,-19901,67,11,-1.2349,0.5594,-65.5,-52.8,0,195
391,6,18,21,32,22,6752,-19895,72,14,0.839,1.0346,80.3,-94.3,33,203
391,12,12,8,55,8,6747,-19889,77,1,-0.4991,0.9761,-53.5,75.4,60,357
392,6,7,7,48,24,6743,-19883,82,1,0.0801,0.9872,27.7,89.8,85,180
392,11,30,20,35,47,6738,-19877,87,14,0.206,1.0298,-10.4,-102.1,78,183
393,5,27,11,0,5,6733,-19871,92,1,-0.7081,0.9471,-23.6,44.9,45,356
393,11,20,12,3,39,6728,-19865,97,14,0.864,1.0373,39.4,32.1,30,188
394,4,16,22,3,59,6724,-19860,64,11,1.3563,0.3488,71.1,114.1,0,56
394,5,16,11,41,58,6724,-19859,102,11,-1.4503,0.1889,-69.1,55.1,0,337
394,10,11,14,4,4,6720,-19854,69,11,-1.204,0.6179,-71.6,-119.1,0,114
395,4,6,6,55,8,6715,-19848,74,14,0.547,1.024,38.1,92.8,57,158
395,9,30,19,48,39,6710,-19842,79,1,-0.5302,0.9411,-33.6,-102.8,58,21
396,3,25,21,46,8,6705,-19836,84,14,-0.2001,1.0653,-8.6,-113.6,78,342
396,9,18,19,53,40,6700,-19830,89,1,0.1792,0.9297,11.2,-88.9,80,198
397,3,15,14,27,52,6696,-19824,94,14,-0.9131,1.0473,-62.1,30.3,24,319
397,9,7,21,15,23,6691,-19818,99,1,0.8876,0.9531,63.2,-76.1,27,221
398,2,3,15,22,22,6687,-19813,66,11,1.0942,0.8077,70,-55.2,0,145
398,7,29,20,15,4,6682,-19807,71,11,-1.0735,0.8727,-69.2,-121.2,0,25
399,1,23,18,21,42,6677,-19801,76,1,0.4165,0.9263,5.2,-67.1,65,172
399,7,19,12,51,41,6672,-19795,81,14,-0.329,1.0764,2,13.9,71,5
400,1,12,17,32,37,6668,-19789,86,1,-0.2735,0.9257,-37.6,-50.8,74,355
400,7,8,5,16,4,6663,-19783,91,14,0.4163,1.0502,47.5,129.9,65,182
400,12,31,20,32,8,6658,-19777,96,1,-0.9475,0.9556,-85,86.8,18,175
401,5,29,4,57,52,6654,-19772,63,13,-1.5078,0.0836,-63.8,167.6,0,327
401,6,27,16,57,24,6653,-19771,101,11,1.2292,0.5739,66.3,140.7,0,7
401,11,21,19,26,3,6649,-19766,68,11,1.1528,0.7201,63.3,-44.5,0,219
402,5,18,6,43,33,6644,-19760,73,1,-0.78,0.9428,-29.1,122.1,39,339
402,11,11,11,10,32,6640,-19754,78,14,0.4904,1.0401,9.6,47.2,61,201
403,5,7,8,4,37,6635,-19748,83,1,-0.007,0.9679,16.6,85.2,90,330
403,11,1,0,43,5,6630,-19742,88,7,-0.1968,1.0001,-25.1,-171.8,79,26
404,4,25,15,29,35,6625,-19736,93,14,0.7541,1.0127,55.1,-59.9,41,134
404,10,20,7,58,52,6620,-19730,98,1,-0.941,0.9382,-63.1,15.7,19,76
405,3,16,21,42,37,6617,-19725,65,11,-1.1073,0.8133,-60.9,-23.8,0,268
405,4,15,5,32,35,6616,-19724,103,11,1.4444,0.1668,61.3,15.4,0,69
405,9,9,14,53,32,6612,-19719,70,11,1.3285,0.4022,60.9,82.3,0,280
406,3,6,14,0,59,6607,-19713,75,14,-0.4147,1.0438,-26.6,13.3,65,328
406,8,29,17,59,8,6602,-19707,80,1,0.5632,0.9759,39,-42.9,56,216
407,2,24,2,11,1,6597,-19701,85,1,0.3195,0.9887,7.3,170,71,153
407,8,19,4,29,24,6593,-19695,90,14,-0.2024,1.0371,2.5,135.6,78,25
408,2,13,7,1,38,6588,-19689,95,11,1.0792,0.8238,61.6,42.1,0,119
408,8,7,20,19,36,6583,-19683,100,14,-0.9138,1.0609,-44.3,-126.4,24,31
409,1,2,12,26,14,6579,-19678,67,11,-1.2407,0.5499,-64.5,175.3,0,205
409,6,29,4,46,23,6574,-19672,72,14,0.9153,1.0279,82,-135.1,23,273
409,12,22,17,24,51,6569,-19666,77,1,-0.5009,0.9797,-53.6,-47.3,60,350
410,6,18,14,33,19,6565,-19660,82,1,0.1623,0.9835,33.1,-10.7,80,185
410,12,12,5,25,3,6560,-19654,87,14,0.2041,1.0318,-11.7,125.1,78,178
411,6,7,17,21,39,6555,-19648,92,1,-0.6202,0.9476,-15.5,-54.1,52,360
411,12,1,20,56,26,6550,-19642,97,14,0.8625,1.0363,37.6,-105.7,30,183
412,4,27,4,56,34,6546,-19637,64,11,1.4234,0.2296,70.4,-2.9,0,43
412,5,26,18,11,23,6545,-19636,102,11,-1.3644,0.3368,-68.1,-54.6,0,348
412,10,21,22,19,21,6541,-19631,69,11,-1.2225,0.5845,-71,102.6,0,128
413,4,16,14,20,56,6537,-19625,74,14,0.6075,1.0291,46.3,-22.2,52,158
413,10,11,3,32,32,6532,-19619,79,1,-0.5566,0.9362,-39.7,139,56,22
414,4,6,5,35,10,6527,-19613,84,14,-0.1457,1.0696,-1.4,126.3,82,343
414,9,30,3,19,2,6522,-19607,89,1,0.1434,0.9274,4.9,157.5,82,198
415,3,26,22,23,20,6517,-19601,94,14,-0.8676,1.0503,-53.7,-100.5,29,329
415,9,19,4,49,16,6513,-19595,99,1,0.846,0.9539,55.3,160.3,32,212
416,2,14,23,19,1,6509,-19590,66,11,1.1229,0.7575,70.8,171.9,0,132
416,8,9,3,53,39,6504,-19584,71,11,-1.1288,0.7677,-70,111.1,0,37
416,9,7,13,26,34,6503,-19583,109,12,1.5077,0.0637,71.6,112.1,0,288
417,2,3,2,5,28,6499,-19578,76,1,0.4393,0.9274,9.4,174.8,64,169
417,7,29,20,31,8,6494,-19572,81,14,-0.3928,1.0734,-4.1,-103.3,67,9
418,1,23,1,24,23,6489,-19566,86,1,-0.257,0.9291,-34.2,-167.6,75,351
418,7,19,12,39,47,6485,-19560,91,14,0.3481,1.0459,41.5,20.4,69,187
419,1,12,4,51,32,6480,-19554,96,1,-0.9373,0.9605,-85.8,-108.7,20,245
419,7,8,23,50,44,6475,-19548,101,11,1.1565,0.7035,67.3,26,0,357
419,12,3,4,17,38,6471,-19543,68,11,1.1536,0.7187,64.2,172.4,0,209
420,5,28,13,5,35,6466,-19537,73,1,-0.8673,0.9415,-36.7,25.5,30,342
420,11,21,19,59,16,6461,-19531,78,14,0.4956,1.0377,7.9,-86.8,60,196
421,5,17,14,44,2,6457,-19525,83,4,-0.0888,0.9716,14.9,-14,85,341
421,11,11,9,13,49,6452,-19519,88,1,-0.1901,0.9956,-28.3,60.7,79,23
422,5,6,22,41,20,6447,-19513,93,14,0.6806,1.0193,54.8,-161.7,47,141
422,10,31,16,0,7,6442,-19507,98,1,-0.9282,0.9344,-66.1,-107,21,78
423,3,28,5,39,26,6438,-19502,65,11,-1.1556,0.7213,-60.9,-152.5,0,276
423,4,26,13,7,50,6437,-19501,103,11,1.3796,0.2901,61.8,-108,0,60
423,9,20,22,13,51,6433,-19496,70,11,1.368,0.3358,60.8,-37.2,0,271
424,3,16,21,58,57,6429,-19490,75,14,-0.4601,1.0441,-24.8,-106.4,62,328
424,9,9,1,33,22,6424,-19484,80,1,0.6062,0.9755,37.1,-156,52,217
425,3,6,9,57,4,6419,-19478,85,1,0.2811,0.9887,9.2,52.7,74,151
425,8,29,12,19,1,6414,-19472,90,14,-0.1534,1.0371,1.3,17.8,81,27
426,2,23,14,32,13,6409,-19466,95,11,1.0456,0.8811,61.1,-80,0,110
426,8,19,4,11,14,6405,-19460,100,14,-0.8601,1.0605,-40.3,115.3,30,33
427,1,13,20,28,41,6401,-19455,67,11,-1.2488,0.5366,-63.6,44.4,0,215
427,7,10,11,59,29,6396,-19449,72,14,0.9913,1.018,69.4,167.3,6,323
428,1,3,1,54,51,6391,-19443,77,1,-0.5033,0.9838,-52.5,-170.4,60,342
428,6,28,21,16,15,6386,-19437,82,1,0.2453,0.9792,37.6,-109.7,76,190
428,12,22,14,14,19,6381,-19431,87,14,0.2019,1.0343,-12.1,-7.5,78,173
429,6,17,23,43,27,6377,-19425,92,1,-0.5325,0.9475,-8.6,-152.2,58,4
429,12,12,5,50,23,6372,-19419,97,14,0.862,1.0356,36.4,116.2,30,178
430,5,8,11,47,21,6368,-19414,64,13,1.4922,0.1063,69.6,-118.8,0,31
430,6,7,0,41,34,6367,-19413,102,11,-1.278,0.4865,-67.1,-164,0,359
430,11,2,6,38,40,6363,-19408,69,11,-1.2369,0.5587,-70.3,-36.2,0,141
431,4,27,21,43,54,6358,-19402,74,14,0.6712,1.0337,54.7,-136.4,48,157
431,10,22,11,22,11,6353,-19396,79,1,-0.5773,0.9318,-45.4,20.1,54,21
432,4,16,13,17,57,6348,-19390,84,14,-0.0858,1.0734,5.9,7.9,85,344
432,10,10,10,53,48,6344,-19384,89,1,0.1154,0.9254,-1,41.8,83,197
433,4,6,6,11,16,6339,-19378,94,14,-0.8163,1.0527,-45.3,133.9,35,336
433,9,29,12,33,8,6334,-19372,99,1,0.8119,0.9546,48.3,37.5,35,207
434,2,25,7,5,34,6330,-19367,66,11,1.1588,0.6947,71.5,41,0,119
434,8,20,11,40,53,6325,-19361,71,11,-1.1776,0.6752,-70.8,-19.3,0,49
434,9,18,21,26,54,6325,-19360,109,11,1.4688,0.1352,71.9,-22.7,0,275
435,2,14,9,39,34,6320,-19355,76,1,0.4697,0.9289,14.5,58.7,62,166
435,8,10,4,16,6,6316,-19349,81,14,-0.4516,1.0697,-10.6,137.5,63,12
